TIME,Roll (deg),Pitch (deg),Yaw (deg),,Adjusted time,Pitch with first 40sec neglected
324.359806,8.822254316,21.33837061,4.550128511,,33.399903,14.97
324.379716,9.05342647,21.22565817,4.949922352,,33.419452,15.07582364
324.399412,9.279794146,21.11498953,5.347323384,,33.439963,15.19353236
324.419426,9.402613528,21.08184662,5.773464365,,33.462043,15.37057232
324.439937,9.523381909,21.05165452,6.211249748,,33.480587,15.52153366
324.45995,9.472890401,21.0785548,6.639766656,,33.499627,15.68760198
324.479901,9.412569917,21.10871504,7.067036749,,33.519665,15.863048
324.499629,9.208516975,21.19155265,7.493003592,,33.540276,15.93956384
324.519297,8.998602358,21.27651809,7.917830793,,33.564818,16.02571391
324.541083,8.549985368,21.39767833,8.334323366,,33.580524,16.05089645
324.559911,8.155104743,21.50328594,8.692470909,,33.59966,16.07850255
324.579567,7.557569711,21.63668539,9.006147523,,33.619681,16.06107567
324.599559,6.937599705,21.77389187,9.321214247,,33.639977,16.04084239
324.619456,6.359650042,21.97452024,9.610415306,,33.662072,15.96169459
324.639576,5.777073037,22.18043108,9.901703809,,33.680688,15.89309537
324.659767,5.239626685,22.32963044,10.11264887,,33.699449,15.77441346
324.679619,4.713456605,22.47358263,10.31616749,,33.719472,15.64526947
324.699816,4.345420185,22.55279855,10.43686477,,33.742677,15.40176918
324.719237,3.998895507,22.62600799,10.54911925,,33.762212,15.19389715
324.741145,3.739184341,22.60438131,10.6064777,,33.780553,15.00612678
324.759828,3.52338699,22.58142415,10.65239203,,33.800014,14.80749181
324.779532,3.37387096,22.50958843,10.6317698,,33.819819,14.69211909
324.799285,3.22887463,22.43459033,10.60677044,,33.840239,14.57660715
324.819465,3.050021653,22.30251624,10.55802412,,33.862316,14.41911889
324.839737,2.868386471,22.16628985,10.5075699,,33.880505,14.28786553
324.859741,2.68736948,22.02093653,10.43810624,,33.899577,14.10842046
324.879666,2.506980183,21.87562293,10.36795484,,33.919497,13.91834902
324.89988,2.297030796,21.7781806,10.28791873,,33.942588,13.73103664
324.919585,2.091326523,21.6851239,10.20955519,,33.962244,13.57269564
324.94131,1.915525562,21.61318226,10.13842259,,33.980839,13.4267231
324.959798,1.768199816,21.55333118,10.0785715,,33.999827,13.27802684
324.979483,1.646520681,21.4507056,9.985402533,,34.019317,13.17741344
324.999351,1.5256691,21.34496046,9.889728364,,34.039866,13.07437737
325.019448,1.438907584,21.21120616,9.770756916,,34.061919,13.04394065
325.039518,1.353985863,21.07633049,9.650867427,,34.080508,13.0210692
325.059877,1.316138764,20.91520578,9.509795384,,34.099956,12.98682914
325.079811,1.281375934,20.75628999,9.370744064,,34.119462,12.95200321
325.099768,1.284839671,20.59513054,9.220050204,,34.14288,12.95520655
325.119368,1.289788416,20.43677069,9.07158785,,34.162053,12.95968381
325.141051,1.26954367,20.33283243,8.932274184,,34.180491,13.01497372
325.159785,1.251158979,20.24550515,8.812773693,,34.199944,13.07757052
325.179685,1.273787074,20.22097034,8.73863652,,34.219601,13.15073396
325.199551,1.299031692,20.20077465,8.667951588,,34.239944,13.22686034
325.219557,1.395250823,20.24286287,8.660477786,,34.262129,13.34500796
325.239638,1.494644492,20.28759002,8.655508102,,34.280714,13.44514021
325.259659,1.641928957,20.33730965,8.674164188,,34.299474,13.55960311
325.279715,1.792228717,20.38740957,8.694204156,,34.319644,13.68339607
325.299881,1.953238872,20.45225329,8.771859763,,34.342634,13.84403829
325.319482,2.110258849,20.51604266,8.850369752,,34.361927,13.97965299
325.341179,2.306640313,20.53008867,8.971259981,,34.38062,14.16954847
325.359758,2.475947983,20.53924043,9.076505289,,34.399791,14.3694279
325.379709,2.76250319,20.49301669,9.235586915,,34.419588,14.54637665
325.399654,3.057743352,20.44211322,9.398478038,,34.440484,14.73146991
325.419196,3.372921108,20.37941578,9.568351693,,34.462243,14.9297726
325.439584,3.702939038,20.31341219,9.746053655,,34.480632,15.09758028
325.459884,4.088193495,20.2813096,9.932164474,,34.499643,15.33910771
325.47994,4.471883028,20.25141171,10.11653477,,34.51964,15.59868091
325.499553,4.833212626,20.26906737,10.2920798,,34.54267,15.81663993
325.519292,5.196154553,20.28923081,10.4685099,,34.562095,15.9977926
325.541304,5.547485651,20.34711296,10.65696337,,34.580992,16.2165752
325.559827,5.841537428,20.39687556,10.81529894,,34.59999,16.43971117
325.579571,6.10973829,20.49424086,10.98073775,,34.619467,16.53854956
325.599229,6.37395202,20.59394416,11.14524819,,34.640007,16.63632968
325.619302,6.545332353,20.71767602,11.28703747,,34.662078,16.76596407
325.639613,6.712446893,20.84427795,11.42883163,,34.68046,16.87467166
325.659932,6.773037179,20.97053904,11.50756375,,34.699445,16.92159473
325.679761,6.827244396,21.09373726,11.58148269,,34.719576,16.96789772
325.699873,6.815469297,21.27921201,11.60945817,,34.742705,17.13100461
325.719299,6.800693677,21.46144465,11.6340842,,34.762295,17.27298436
325.74117,6.738064421,21.74871011,11.61975643,,34.780634,17.44710026
325.759737,6.6831974,21.9956117,11.60603968,,34.799816,17.63162142
325.779589,6.618010314,22.24365343,11.50510314,,34.819753,17.8432925
325.799231,6.553140767,22.48816173,11.40031387,,34.840213,18.06144862
325.819365,6.517350467,22.65858345,11.23665688,,34.86201,18.18986125
